abcd,nda,instrument
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_caudate.rh,ssticrgovsicrspbtcaudate,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_amygdala.rh,ssticrgovsicrspbtay,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_accumbens.area.rh,ssticrgovsicrspbtaa,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_ventraldc.lh,ssticrgovsicrspbleftvldc,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_thalamus.proper.lh,ssticrgovsicrspblefttpr,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_putamen.lh,ssticrgovsicrspbleftputamen,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_pallidum.lh,ssticrgovsicrspbleftpallidum,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_lateral.ventricle.lh,ssticrgovsicrspbleftltvnt,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_inf.lat.vent.lh,ssticrgovsicrspbleftinflatvent,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_hippocampus.lh,ssticrgovsicrspblefthmp,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_cerebral.white.matter.lh,ssticrgovsicrspbleftclwm,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_cerebellum.white.matter.lh,ssticrgovsicrspbleftcbmwm,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_cerebellum.cortex.lh,ssticrgovsicrspbleftcbmcx,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_caudate.lh,ssticrgovsicrspbleftcaudate,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_amygdala.lh,ssticrgovsicrspbleftay,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_accumbens.area.lh,ssticrgovsicrspbleftaa,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_transversetemporal.rh,ssticrgovsicrspbctxrhtvstp,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_temporalpole.rh,ssticrgovsicrspbctxrhtppole,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_superiortemporal.rh,ssticrgovsicrspbctxrhsutp,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_superiorparietal.rh,ssticrgovsicrspbctxrhsupar,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_superiorfrontal.rh,ssticrgovsicrspbctxrhsufr,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_rostralmiddlefrontal.rh,ssticrgovsicrspbctxrhstralmdfr,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_supramarginal.rh,ssticrgovsicrspbctxrhsmg,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_rostralanteriorcingulate.rh,ssticrgovsicrspbctxrhrlg,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_entorhinal.rh,ssticrgovsicrspbctxrhrh,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_posteriorcingulate.rh,ssticrgovsicrspbctxrhpstcg,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_parsorbitalis.rh,ssticrgovsicrspbctxrhpsb,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_precentral.rh,ssticrgovsicrspbctxrhprect,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_postcentral.rh,ssticrgovsicrspbctxrhpostct,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_precuneus.rh,ssticrgovsicrspbctxrhpcn,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_pericalcarine.rh,ssticrgovsicrspbctxrhpcar,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_parsopercularis.rh,ssticrgovsicrspbctxrhparsops,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_parstriangularis.rh,ssticrgovsicrspbctxrhparsgs,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_parahippocampal.rh,ssticrgovsicrspbctxrhparahip,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_paracentral.rh,ssticrgovsicrspbctxrhparact,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_medialorbitofrontal.rh,ssticrgovsicrspbctxrhmlobofr,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_middletemporal.rh,ssticrgovsicrspbctxrhmdtp,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_isthmuscingulate.rh,ssticrgovsicrspbctxrhm,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_lateraloccipital.rh,ssticrgovsicrspbctxrhltoc,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_lateralorbitofrontal.rh,ssticrgovsicrspbctxrhltobofr,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_lingual.rh,ssticrgovsicrspbctxrhlingual,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_inferiortemporal.rh,ssticrgovsicrspbctxrhiftp,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_inferiorparietal.rh,ssticrgovsicrspbctxrhifpar,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_frontalpole.rh,ssticrgovsicrspbctxrhfrpole,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_fusiform.rh,ssticrgovsicrspbctxrhff,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_cuneus.rh,ssticrgovsicrspbctxrhcuneus,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_caudalmiddlefrontal.rh,ssticrgovsicrspbctxrhcdmdfr,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_caudalanteriorcingulate.rh,ssticrgovsicrspbctxrhcdantcg,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_bankssts.rh,ssticrgovsicrspbctxrhbankssts,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_transversetemporal.lh,ssticrgovsicrspbctxlhtvstp,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_temporalpole.lh,ssticrgovsicrspbctxlhtppole,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_entorhinal.lh,ssticrgovsicrspbctxlhtorhinal,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_rostralmiddlefrontal.lh,ssticrgovsicrspbctxlhtmd,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_superiortemporal.lh,ssticrgovsicrspbctxlhsutp,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_superiorparietal.lh,ssticrgovsicrspbctxlhsupar,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_superiorfrontal.lh,ssticrgovsicrspbctxlhsufr,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_supramarginal.lh,ssticrgovsicrspbctxlhsmg,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_rostralanteriorcingulate.lh,ssticrgovsicrspbctxlhrlg,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_posteriorcingulate.lh,ssticrgovsicrspbctxlhpstcg,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_parsorbitalis.lh,ssticrgovsicrspbctxlhpsb,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_precentral.lh,ssticrgovsicrspbctxlhprect,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_postcentral.lh,ssticrgovsicrspbctxlhpostct,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_precuneus.lh,ssticrgovsicrspbctxlhpcn,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_pericalcarine.lh,ssticrgovsicrspbctxlhpcar,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_parsopercularis.lh,ssticrgovsicrspbctxlhparsops,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_parstriangularis.lh,ssticrgovsicrspbctxlhparsgs,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_parahippocampal.lh,ssticrgovsicrspbctxlhparahip,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_paracentral.lh,ssticrgovsicrspbctxlhparact,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_medialorbitofrontal.lh,ssticrgovsicrspbctxlhmlobofr,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_middletemporal.lh,ssticrgovsicrspbctxlhmdtp,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_lateraloccipital.lh,ssticrgovsicrspbctxlhltoc,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_lateralorbitofrontal.lh,ssticrgovsicrspbctxlhltobofr,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_lingual.lh,ssticrgovsicrspbctxlhlingual,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_isthmuscingulate.lh,ssticrgovsicrspbctxlhisthmuscg,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_inferiortemporal.lh,ssticrgovsicrspbctxlhiftp,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_inferiorparietal.lh,ssticrgovsicrspbctxlhifpar,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_frontalpole.lh,ssticrgovsicrspbctxlhfrpole,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_fusiform.lh,ssticrgovsicrspbctxlhff,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_cuneus.lh,ssticrgovsicrspbctxlhcuneus,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_caudalmiddlefrontal.lh,ssticrgovsicrspbctxlhcdmdfr,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_caudalanteriorcingulate.lh,ssticrgovsicrspbctxlhcdantcg,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_cort.desikan_bankssts.lh,ssticrgovsicrspbctxlhbankssts,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_csf,ssticrgovsicrspbcsf,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_brain.stem,ssticrgovsicrspbbrainstem,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_4th.ventricle,ssticrgovsicrspb4thvnt,sstroi01
tfmri_sst_all_incorrect.go.vs.incorrect.stop_beta_subcort.aseg_3rd.ventricle,ssticrgovsicrspb3rdvnt,sstroi01
tfmri_sst_all_incorrect.go.vs.correct.go_beta_subcort.aseg_ventraldc.rh,ssticrgovscrgobtvldc,sstroi01
tfmri_sst_all_incorrect.go.vs.correct.go_beta_subcort.aseg_thalamus.proper.rh,ssticrgovscrgobttpr,sstroi01
