abcd,nda,instrument
smri_vol_cort.desikan_caudalanteriorcingulate.lh,cv_lh_caudalanteriorcing,freesvol01
smri_vol_cort.desikan_caudalmiddlefrontal.lh,cv_lh_caudalmiddlefront,freesvol01
smri_vol_cort.desikan_cuneus.lh,cv_lh_cuneus,freesvol01
smri_vol_cort.desikan_entorhinal.lh,cv_lh_entorhinal,freesvol01
smri_vol_cort.desikan_fusiform.lh,cv_lh_fusiform,freesvol01
smri_vol_cort.desikan_inferiorparietal.lh,cv_lh_inferiorpariet,freesvol01
smri_vol_cort.desikan_inferiortemporal.lh,cv_lh_inferiortemp,freesvol01
smri_vol_cort.desikan_isthmuscingulate.lh,cv_lh_isthmuscing,freesvol01
smri_vol_cort.desikan_lateraloccipital.lh,cv_lh_ltr_occipital,freesvol01
smri_vol_cort.desikan_lateralorbitofrontal.lh,cv_lh_ltr_orbitofront,freesvol01
smri_vol_cort.desikan_lingual.lh,cv_lh_lingual,freesvol01
smri_vol_cort.desikan_medialorbitofrontal.lh,cv_lh_medialorbitofront,freesvol01
smri_vol_cort.desikan_middletemporal.lh,cv_lh_middletemp,freesvol01
smri_vol_cort.desikan_parahippocampal.lh,cv_lh_parahippocampal,freesvol01
smri_vol_cort.desikan_paracentral.lh,cv_lh_paracentral,freesvol01
smri_vol_cort.desikan_parsopercularis.lh,cv_lh_parsopercularis,freesvol01
smri_vol_cort.desikan_parsorbitalis.lh,cv_lh_parsorbitalis,freesvol01
smri_vol_cort.desikan_parstriangularis.lh,cv_lh_parstriangularis,freesvol01
smri_vol_cort.desikan_pericalcarine.lh,cv_lh_pericalcarine,freesvol01
smri_vol_cort.desikan_postcentral.lh,cv_lh_postcentral,freesvol01
smri_vol_cort.desikan_posteriorcingulate.lh,cv_lh_posteriorcing,freesvol01
smri_vol_cort.desikan_precentral.lh,cv_lh_precentral,freesvol01
smri_vol_cort.desikan_precuneus.lh,cv_lh_precuneus,freesvol01
smri_vol_cort.desikan_rostralanteriorcingulate.lh,cv_lh_rostralanteriorcing,freesvol01
